GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-jpl7-swi7,io.github.prolobjectlink.prolog.jpl7.swi7,SwiProlog7JavaConverter,0,4,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jpl7-swi7,io.github.prolobjectlink.prolog.jpl7.swi7,SwiProlog7Console,6,6,0,0,2,2,1,1,1,1
prolobjectlink-jpi-jpl7-swi7,io.github.prolobjectlink.prolog.jpl7.swi7,SwiProlog7Converter,0,10,0,0,0,3,0,3,0,3
prolobjectlink-jpi-jpl7-swi7,io.github.prolobjectlink.prolog.jpl7.swi7,SwiProlog7,8,32,0,0,3,7,1,5,1,5
prolobjectlink-jpi-jpl7-swi7,io.github.prolobjectlink.prolog.jpl7.swi7,SwiProlog7ScriptFactory,0,7,0,0,0,2,0,1,0,1
prolobjectlink-jpi-jpl7-swi7,io.github.prolobjectlink.prolog.jpl7.swi7,SwiProlog7Engine,206,43,6,0,24,6,6,4,3,4
